,image,score,qalign_point
0,24429.jpg,4.034603,0.68701171875
1,55406.jpg,3.672703,0.671875
2,82427.jpg,3.621235,0.6728515625
3,47517.jpg,3.660583,0.78662109375
4,135510.jpg,5.06672,0.8076171875
5,142583.jpg,3.763918,0.50390625
6,36425.jpg,4.086838,0.6494140625
7,161367.jpg,3.406526,0.22900390625
8,60061.jpg,3.637972,0.6806640625
9,149731.jpg,4.014329,0.53759765625
10,129001.jpg,3.723825,0.775390625
11,91442.jpg,3.507062,0.75537109375
12,42138.jpg,7.188178,0.4521484375
13,42458.jpg,4.727384,0.7109375
14,19271.jpg,3.714155,0.343017578125
15,14847.jpg,3.376026,0.6220703125
16,130578.jpg,3.912394,0.7861328125
17,61090.jpg,3.606729,0.7451171875
18,46099.jpg,9.631597,0.72607421875
19,187034.jpg,3.948504,0.68701171875
20,23445.jpg,3.697734,0.90966796875
21,75458.jpg,3.980646,0.5087890625
22,264854.jpg,3.830417,0.71875
23,35664.jpg,4.11334,0.64013671875
24,147234.jpg,3.486156,0.7587890625
25,93673.jpg,4.212969,0.77001953125
26,85754.jpg,3.639869,0.66943359375
27,106128.jpg,3.329835,0.58056640625
28,106277.jpg,9.59078,0.74267578125
29,103306.jpg,4.063143,0.72314453125
30,90610.jpg,4.061035,0.8515625
31,39633.jpg,3.602838,0.87255859375
32,220998.jpg,4.172165,0.703125
33,264761.jpg,3.532803,0.75634765625
34,45179.jpg,5.134811,0.63720703125
35,209574.jpg,4.354705,0.90625
36,147206.jpg,3.981106,0.80419921875
37,115171.jpg,8.582441,0.78515625
38,129297.jpg,3.490421,0.826171875
39,55250.jpg,4.387601,0.8017578125
40,48145.jpg,3.552782,0.58056640625
41,284291.jpg,3.873197,0.59130859375
42,39565.jpg,3.311498,0.66748046875
43,84969.jpg,4.270963,0.475830078125
44,286205.jpg,3.737148,0.90625
45,218543.jpg,3.539379,0.68896484375
46,11307.jpg,3.530707,0.7216796875
47,179320.jpg,4.723003,0.65966796875
48,47960.jpg,4.134129,0.728515625
49,91604.jpg,3.59907,0.7763671875
50,87861.jpg,4.28763,0.81494140625
51,33888.jpg,3.438528,0.65673828125
52,80693.jpg,4.286519,0.7353515625
53,46778.jpg,4.529204,0.70263671875
54,50734.jpg,3.949239,0.83740234375
55,99178.jpg,3.923623,0.78662109375
56,114009.jpg,3.621294,0.771484375
57,75632.jpg,3.821681,0.8037109375
58,30503.jpg,3.407389,0.81591796875
59,268123.jpg,4.470846,0.77734375
60,144347.jpg,3.9674,0.78076171875
61,16936.jpg,3.729919,0.68701171875
62,88729.jpg,3.532865,0.7119140625
63,30703.jpg,6.979433,0.365966796875
64,294904.jpg,3.800619,0.6767578125
65,66226.jpg,3.504995,0.7275390625
66,271889.jpg,3.579132,0.80517578125
67,32491.jpg,3.591775,0.51416015625
68,21554.jpg,4.344622,0.7470703125
69,127704.jpg,3.329888,0.837890625
70,43182.jpg,9.999793,0.303955078125
71,106780.jpg,4.007435,0.84716796875
72,104058.jpg,6.562877,0.69140625
73,15429.jpg,4.586221,0.92724609375
74,270578.jpg,3.722369,0.7060546875
75,178366.jpg,3.471611,0.5859375
76,97396.jpg,4.34309,0.5576171875
77,193566.jpg,5.759261,0.92626953125
78,93467.jpg,9.494948,0.57958984375
79,231797.jpg,4.389993,0.75537109375
80,95887.jpg,3.296165,0.25390625
81,184624.jpg,9.999939,0.57080078125
82,80690.jpg,3.761553,0.73583984375
83,52301.jpg,5.368182,0.59130859375
84,95135.jpg,3.551315,0.69287109375
85,138917.jpg,3.752903,0.7607421875
86,55721.jpg,3.376462,0.5068359375
87,93122.jpg,4.005276,0.67822265625
88,83563.jpg,3.687911,0.69970703125
89,80497.jpg,4.744961,0.68603515625
90,37947.jpg,3.809829,0.71533203125
91,71148.jpg,4.279533,0.78076171875
92,95072.jpg,9.14985,0.72265625
93,287198.jpg,4.128808,0.75048828125
94,293145.jpg,3.568323,0.951171875
95,142715.jpg,3.994732,0.73095703125
96,145112.jpg,5.345304,0.69482421875
97,214409.jpg,4.713682,0.79736328125
98,101688.jpg,3.520235,0.55712890625
99,13131.jpg,3.737101,0.421875
100,13047.jpg,4.13345,0.83984375
101,54312.jpg,4.997317,0.6943359375
102,205929.jpg,3.611172,0.857421875
103,140779.jpg,4.473723,0.6474609375
104,167146.jpg,3.733319,0.69287109375
105,188153.jpg,7.241934,0.7685546875
106,103543.jpg,3.726696,0.736328125
107,16440.jpg,3.589055,0.6982421875
108,36443.jpg,5.382993,0.64013671875
